Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0700|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-7.184|-66.253|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|15.788|N/A|-22.753|-80.402|N/A|N/A
water#fluoride|0701|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-7.047|-65.602|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|15.300|N/A|-22.348|-79.696|N/A|N/A
water#fluoride|0702|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-6.912|-64.961|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|14.827|N/A|-21.952|-78.997|N/A|N/A
water#fluoride|0703|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.886|-44.469|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|6.306|N/A|-10.060|-52.108|N/A|N/A
water#fluoride|0704|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.362|-42.037|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|5.019|N/A|-9.075|-49.456|N/A|N/A
water#fluoride|0705|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.912|-39.835|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.000|N/A|-8.211|-46.957|N/A|N/A
water#fluoride|0706|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.435|-37.357|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|3.018|N/A|-7.272|-44.046|N/A|N/A
water#fluoride|0707|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.113|-35.563|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|2.413|N/A|-6.617|-41.880|N/A|N/A
water#fluoride|0708|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.771|-33.520|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.828|N/A|-5.900|-39.363|N/A|N/A
water#fluoride|0709|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.539|-32.026|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.466|N/A|-5.395|-37.494|N/A|N/A
